Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Acerodon_celebensis,Chiroptera,Mega (P),20.8,14.5,18.7,53.3,63.8,62.5,122.1,0.8,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Acerodon_leucotis,Chiroptera,Mega (P),21.1,13.6,19.5,58.3,59.7,51,122.6,0.8,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Acinonyx_jubatus,Carnivora,Feliformia,53.6,46.6,55.9,56.9,63.1,64.2,117.9,0.6,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Aeretes_melanopterus,Rodentia,Pteromyinae,24.6,14.9,22.3,36.2,40.8,58.7,144.5,0.4,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Ailurus_fulgens,Carnivora,Caniformia,45.8,19.3,42.2,58.8,47.2,62.7,135.6,0.1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Alopex_lagopus,Carnivora,Caniformia,38.9,22.1,36.2,43,36.9,59.4,145.2,0.2,cathemeral,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Alouatta_belzebul,Primates,Anthropoidea,42.6,23.4,34.3,73.7,54.1,81.4,124.4,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Alouatta_caraya,Primates,Anthropoidea,43.3,21.5,34.5,76.5,54.9,83.1,124.6,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Ammospermophilus_leucurus,Rodentia,Sciurinae,15.1,11,12.4,31.6,25.8,62.3,165,0.4,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Anathana_ellioti,Scandentia,Tupaiinae,14.1,8.5,12,31.3,65.7,79,140.5,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Anomalurus_beecrofti,Rodentia,Anomaluridae,21.1,15.7,18.1,29.6,23.4,62.2,153.3,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Anomalurus_derbianus,Rodentia,Anomaluridae,22.4,16.2,20.2,32.8,27.7,58.3,152.8,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Anomalurus_pelii,Rodentia,Anomaluridae,25.7,17.2,23.8,34.2,27.9,55.8,147.8,0.1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Anomalurus_pusillus,Rodentia,Anomaluridae,19,13,16.1,34,31.5,63.6,150.7,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Aotus_nigriceps,Primates,Anthropoidea,28.7,20.8,18.3,62.8,73,73.8,118.6,1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Aotus_trivirgatus,Primates,Anthropoidea,27.3,20,18.2,67.5,67.3,71.5,117.2,1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Arctictis_binturong,Carnivora,Feliformia,40.2,21.7,39.9,54.5,53.5,61.9,136.1,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Arctocebus_calabarensis,Primates,Strepsirrhini,20.7,13.7,17.5,56.2,51.5,56.1,134.8,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Arctogalidia_trivirgata,Carnivora,Feliformia,31,20.9,31.2,45.5,49.2,67.1,136.6,0.7,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Atelerix_albiventris,Erinaceomorpha,Erinaceomorpha,15.9,8.2,15.1,37.5,32.5,67.1,156.3,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Ateles_belzebuth,Primates,Anthropoidea,53.6,22.8,36.9,75,73,83,113.8,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Ateles_geoffroyi,Primates,Anthropoidea,50.6,22.8,35.1,80.8,74.2,86.3,107.5,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Ateles_paniscus,Primates,Anthropoidea,50.9,24.2,36.7,79.9,72.6,81.8,109.6,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Atilax_paludinosus,Carnivora,Feliformia,36,19.5,31.03,42.2,56.87,73.53,138,0.87,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Avahi_laniger,Primates,Strepsirrhini,22.5,17.3,19.2,54.7,60.6,68.8,121.9,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Babyrousa_babyrussa,Artiodactyla,Suiformes,52.3,47,64.1,26.5,45.1,70.5,150.6,0.6,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Bassaricyon_alleni,Carnivora,Caniformia,30.8,18.1,27.3,43.4,51.2,69.6,138.1,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Bassaricyon_gabbii,Carnivora,Caniformia,29.6,17.3,26,48.2,58.5,70.9,131.1,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Bassariscus_astutus,Carnivora,Caniformia,29.7,16.5,26.4,46.3,48.5,65.3,142.5,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Bdeogale_jacksoni,Carnivora,Feliformia,31.17,18.5,30.73,42.42,52.03,65.6,143.12,0.67,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Bdeogale_nigripes,Carnivora,Feliformia,32.1,21,30.8,34.7,38.6,62.8,155.7,0.6,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Brachyteles_arachnoides,Primates,Anthropoidea,52.6,24.7,38.5,82.4,71.8,84.7,110.8,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Bradypus_tridactylus,Pilota,Pilota,27.4,18.6,25.5,28.6,60.6,80.3,147.8,0.4,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Bradypus_variegatus,Pilota,Pilota,26.3,18.5,24.2,23.4,53.6,81.5,149.8,0.3,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Callicebus_caligatus,Primates,Anthropoidea,29,16,20.7,76.5,74.8,82.6,110.9,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_moloch,Primates,Anthropoidea,29.4,16.4,20.9,85.4,76.6,86.1,103.6,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_personatus,Primates,Anthropoidea,29.1,14.8,21,82.3,79.4,87.9,102.8,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_torquatus,Primates,Anthropoidea,29.2,15.5,21.5,69.9,76.7,86,113,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callimico_goeldii,Primates,Anthropoidea,25.1,11.7,16.9,69.9,87.3,90.6,101.8,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Callithrix_argentata,Primates,Anthropoidea,21.3,9.4,14.6,61.9,92.6,95.3,100,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callithrix_humeralifera,Primates,Anthropoidea,21.9,9.7,15.2,64.5,95,102.1,99.9,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callithrix_jacchus,Primates,Anthropoidea,21.7,9,14.8,63.5,83.5,88,107.8,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
